			Temp	Pulses	ElapsedIn	ElapsedOut	LpH		In	Out	Total	
Pulses	419											
ElapsedIn	385											
ElapsedOut	827											
LpH	53,23											
Temp	0											
Pulses	419											
ElapsedIn	385											
ElapsedOut	820											
LpH	48,66											
Temp	0											
Pulses	420											
ElapsedIn	799											
ElapsedOut	820											
LpH	40,72											
Temp	0											
Pulses	421											
ElapsedIn	451											
ElapsedOut	820											
LpH	36,14											
Temp	0											
Pulses	421											
ElapsedIn	451											
ElapsedOut	828											
LpH	31,57											
Temp	0											
Pulses	422											
ElapsedIn	298											
ElapsedOut	828											
LpH	30,35											
Temp	0											
Pulses	423											
ElapsedIn	235											
ElapsedOut	828											
LpH	31,37											
Temp	0											
Pulses	424											
ElapsedIn	222											
ElapsedOut	828											
LpH	31,53											
Temp	0											
Pulses	424											
ElapsedIn	222											
ElapsedOut	845											
LpH	32,51											
Temp	0											
Pulses	425											
ElapsedIn	232											
ElapsedOut	845											
LpH	33,13											
Temp	0											
Pulses	426											
ElapsedIn	238											
ElapsedOut	845											
LpH	36,22											
Temp	0											
Pulses	427											
ElapsedIn	214											
ElapsedOut	845											
LpH	40,24											
Temp	0											
Pulses	428											
ElapsedIn	311											
ElapsedOut	845											
LpH	44,04											
Temp	0											
Pulses	428											
ElapsedIn	311											
ElapsedOut	980											
LpH	46,38											
Temp	0											
Pulses	429											
ElapsedIn	314											
ElapsedOut	980											
LpH	48,63											
Temp	0											
Pulses	430											
ElapsedIn	205											
ElapsedOut	980											
LpH	51,94											
Temp	0											
Pulses	431											
ElapsedIn	223											
ElapsedOut	980											
LpH	52,8											
Temp	0											
Pulses	432											
ElapsedIn	217											
ElapsedOut	980											
LpH	53,41											
Temp	0											
Pulses	432											
ElapsedIn	217											
ElapsedOut	1000											
LpH	54,02											
Temp	0											
Pulses	433											
ElapsedIn	218											
ElapsedOut	1000											
LpH	54,96											
Temp	0											
Pulses	434											
ElapsedIn	208											
ElapsedOut	1000											
LpH	56,52											
Temp	0											
Pulses	435											
ElapsedIn	219											
ElapsedOut	1000											
LpH	56,73											
Temp	0											
Pulses	436											
ElapsedIn	221											
ElapsedOut	1000											
LpH	59,63											
Temp	0											
Pulses	437											
ElapsedIn	232											
ElapsedOut	1000											
LpH	61,75											
Temp	0											
Pulses	437											
ElapsedIn	232											
ElapsedOut	990											
LpH	63,9											
Temp	0											
Pulses	438											
ElapsedIn	291											
ElapsedOut	990											
LpH	61,19											
Temp	0											
Pulses	439											
ElapsedIn	226											
ElapsedOut	990											
LpH	61,1											
Temp	0											
Pulses	440											
ElapsedIn	248											
ElapsedOut	990											
LpH	60,04											
Temp	0											
Pulses	441											
ElapsedIn	204											
ElapsedOut	990											
LpH	60,57											
Temp	0											
Pulses	441											
ElapsedIn	204											
ElapsedOut	930											
LpH	61											
Temp	0											
Pulses	442											
ElapsedIn	196											
ElapsedOut	930											
LpH	61,38											
Temp	0											
Pulses	443											
ElapsedIn	218											
ElapsedOut	930											
LpH	61,26											
Temp	0											
Pulses	444											
ElapsedIn	204											
ElapsedOut	930											
LpH	61,8											
Temp	0											
Pulses	445											
ElapsedIn	208											
ElapsedOut	930											
LpH	62,57											
Temp	0											
Pulses	445											
ElapsedIn	208											
ElapsedOut	884											
LpH	63,24											
Temp	0											
Pulses	446											
ElapsedIn	208											
ElapsedOut	884											
LpH	65,57											
Temp	0											
Pulses	447											
ElapsedIn	217											
ElapsedOut	884											
LpH	65,64											
Temp	0											
Pulses	448											
ElapsedIn	204											
ElapsedOut	884											
LpH	67,02											
Temp	0											
Pulses	449											
ElapsedIn	212											
ElapsedOut	884											
LpH	66,4											
Temp	0											
Pulses	449											
ElapsedIn	212											
ElapsedOut	869											
LpH	65,88											
Temp	0											
Pulses	450											
ElapsedIn	191											
ElapsedOut	869											
LpH	65,96											
Temp	0											
Pulses	451											
ElapsedIn	198											
ElapsedOut	869											
LpH	66,67											
Temp	0											
Pulses	452											
ElapsedIn	184											
ElapsedOut	869											
LpH	67,51											
Temp	0											
Pulses	453											
ElapsedIn	191											
ElapsedOut	869											
LpH	68,15											
Temp	0											
Pulses	454											
ElapsedIn	176											
ElapsedOut	869											
LpH	69,76											
Temp	0											
Pulses	454											
ElapsedIn	176											
ElapsedOut	837											
LpH	71,27											
Temp	0											
Pulses	455											
ElapsedIn	167											
ElapsedOut	837											
LpH	73,74											
Temp	0											
Pulses	456											
ElapsedIn	154											
ElapsedOut	837											
LpH	76,62											
Temp	0											
Pulses	457											
ElapsedIn	157											
ElapsedOut	837											
LpH	79,61											
Temp	0											
Pulses	458											
ElapsedIn	171											
ElapsedOut	837											
LpH	81,65											
Temp	0											
Pulses	459											
ElapsedIn	173											
ElapsedOut	837											
LpH	82,58											
Temp	0											
Pulses	459											
ElapsedIn	173											
ElapsedOut	818											
LpH	83,8											
Temp	0											
Pulses	460											
ElapsedIn	170											
ElapsedOut	818											
LpH	84,49											
Temp	0											
Pulses	461											
ElapsedIn	181											
ElapsedOut	818											
LpH	84,88											
Temp	0											
Pulses	462											
ElapsedIn	183											
ElapsedOut	818											
LpH	84,3											
Temp	0											
Pulses	463											
ElapsedIn	191											
ElapsedOut	818											
LpH	83,4											
Temp	0											
Pulses	463											
ElapsedIn	191											
ElapsedOut	795											
LpH	81,83											
Temp	0											
Pulses	464											
ElapsedIn	196											
ElapsedOut	795											
LpH	79,05											
Temp	0											
Pulses	465											
ElapsedIn	186											
ElapsedOut	795											
LpH	77,03											
Temp	0											
Pulses	466											
ElapsedIn	198											
ElapsedOut	795											
LpH	75,37											
Temp	0											
Pulses	467											
ElapsedIn	194											
ElapsedOut	795											
LpH	74,05											
Temp	0											
Pulses	467											
ElapsedIn	194											
ElapsedOut	764											
LpH	72,67											
Temp	0											
Pulses	468											
ElapsedIn	197											
ElapsedOut	764											
LpH	70,94											
Temp	0											
Pulses	469											
ElapsedIn	207											
ElapsedOut	764											
LpH	69,43											
Temp	0											
Pulses	470											
ElapsedIn	215											
ElapsedOut	764											
LpH	67,7											
Temp	0											
Pulses	471											
ElapsedIn	220											
ElapsedOut	764											
LpH	66,2											
Temp	0											
Pulses	471											
ElapsedIn	220											
ElapsedOut	768											
LpH	64,79											
Temp	0											
Pulses	472											
ElapsedIn	217											
ElapsedOut	768											
LpH	63,75											
Temp	0											
Pulses	473											
ElapsedIn	231											
ElapsedOut	768											
LpH	61,67											
Temp	0											
Pulses	474											
ElapsedIn	228											
ElapsedOut	768											
LpH	60,31											
Temp	0											
Pulses	474											
ElapsedIn	228											
ElapsedOut	780											
LpH	58,8											
Temp	0											
Pulses	475											
ElapsedIn	233											
ElapsedOut	780											
LpH	57,23											
Temp	0											
Pulses	476											
ElapsedIn	224											
ElapsedOut	780											
LpH	56,13											
Temp	0											
Pulses	477											
ElapsedIn	216											
ElapsedOut	780											
LpH	55,81											
Temp	0											
Pulses	477											
ElapsedIn	216											
ElapsedOut	772											
LpH	55,8											
Temp	0											
Pulses	478											
ElapsedIn	218											
ElapsedOut	772											
LpH	55,91											
Temp	0											
Pulses	479											
ElapsedIn	222											
ElapsedOut	772											
LpH	55,84											
Temp	0											
Pulses	480											
ElapsedIn	228											
ElapsedOut	772											
LpH	55,44											
Temp	0											
Pulses	481											
ElapsedIn	227											
ElapsedOut	772											
LpH	55,6											
Temp	0											
Pulses	481											
ElapsedIn	227											
ElapsedOut	777											
LpH	55,67											
Temp	0											
Pulses	482											
ElapsedIn	232											
ElapsedOut	777											
LpH	55,51											
Temp	0											
Pulses	483											
ElapsedIn	237											
ElapsedOut	777											
LpH	55,37											
Temp	0											
Pulses	484											
ElapsedIn	241											
ElapsedOut	777											
LpH	54,76											
Temp	0											
Pulses	484											
ElapsedIn	241											
ElapsedOut	780											
LpH	53,85											
Temp	0											
Pulses	485											
ElapsedIn	239											
ElapsedOut	780											
LpH	53,03											
Temp	0											
Pulses	486											
ElapsedIn	242											
ElapsedOut	780											
LpH	52,2											
Temp	0											
Pulses	487											
ElapsedIn	247											
ElapsedOut	780											
LpH	51,37											
Temp	0											
Pulses	487											
ElapsedIn	247											
ElapsedOut	776											
LpH	50,74											
Temp	0											
Pulses	488											
ElapsedIn	239											
ElapsedOut	776											
LpH	50,34											
Temp	0											
Pulses	489											
ElapsedIn	237											
ElapsedOut	776											
LpH	49,98											
Temp	0											
Pulses	490											
ElapsedIn	242											
ElapsedOut	776											
LpH	49,64											
Temp	0											
Pulses	491											
ElapsedIn	246											
ElapsedOut	776											
LpH	49,35											
Temp	0											
Pulses	491											
ElapsedIn	246											
ElapsedOut	788											
LpH	49,23											
Temp	0											
Pulses	492											
ElapsedIn	257											
ElapsedOut	788											
LpH	48,77											
Temp	0											
Pulses	493											
ElapsedIn	246											
ElapsedOut	788											
LpH	48,57											
Temp	0											
Pulses	494											
ElapsedIn	253											
ElapsedOut	788											
LpH	48,26											
Temp	0											
Pulses	494											
ElapsedIn	253											
ElapsedOut	787											
LpH	48,1											
Temp	0											
Pulses	495											
ElapsedIn	250											
ElapsedOut	787											
LpH	48,05											
Temp	0											
Pulses	496											
ElapsedIn	259											
ElapsedOut	787											
LpH	47,48											
Temp	0											
Pulses	497											
ElapsedIn	259											
ElapsedOut	787											
LpH	46,84											
Temp	0											
Pulses	497											
ElapsedIn	259											
ElapsedOut	787											
LpH	46,37											
Temp	0											
Pulses	498											
ElapsedIn	256											
ElapsedOut	787											
LpH	46,11											
Temp	0											
Pulses	499											
ElapsedIn	263											
ElapsedOut	787											
LpH	45,61											
Temp	0											
Pulses	500											
ElapsedIn	257											
ElapsedOut	787											
LpH	45,6											
Temp	0											
Pulses	500											
ElapsedIn	257											
ElapsedOut	794											
LpH	45,29											
Temp	0											
Pulses	501											
ElapsedIn	261											
ElapsedOut	794											
LpH	45,09											
Temp	0											
Pulses	502											
ElapsedIn	262											
ElapsedOut	794											
LpH	44,85											
Temp	0											
Pulses	503											
ElapsedIn	262											
ElapsedOut	794											
LpH	44,53											
Temp	0											
Pulses	503											
ElapsedIn	262											
ElapsedOut	794											
LpH	44,47											
Temp	0											
Pulses	504											
ElapsedIn	267											
ElapsedOut	794											
LpH	44,28											
Temp	0											
Pulses	505											
ElapsedIn	261											
ElapsedOut	794											
LpH	44,25											
Temp	0											
Pulses	506											
ElapsedIn	256											
ElapsedOut	794											
LpH	44,27											
Temp	0											
Pulses	506											
ElapsedIn	256											
ElapsedOut	793											
LpH	44,49											
Temp	0											
Pulses	507											
ElapsedIn	255											
ElapsedOut	793											
LpH	44,57											
Temp	0											
Pulses	508											
ElapsedIn	248											
ElapsedOut	793											
LpH	44,84											
Temp	0											
Pulses	509											
ElapsedIn	254											
ElapsedOut	793											
LpH	45,03											
Temp	0											
Pulses	509											
ElapsedIn	254											
ElapsedOut	791											
LpH	45,25											
Temp	0											
Pulses	510											
ElapsedIn	255											
ElapsedOut	791											
LpH	45,44											
Temp	0											
Pulses	511											
ElapsedIn	258											
ElapsedOut	791											
LpH	45,54											
Temp	0											
Pulses	512											
ElapsedIn	259											
ElapsedOut	791											
LpH	45,75											
Temp	0											
Pulses	512											
ElapsedIn	259											
ElapsedOut	786											
LpH	45,77											
Temp	0											
Pulses	513											
ElapsedIn	269											
ElapsedOut	786											
LpH	45,39											
Temp	0											
Pulses	514											
ElapsedIn	266											
ElapsedOut	786											
LpH	45,08											
Temp	0											
Pulses	515											
ElapsedIn	270											
ElapsedOut	786											
LpH	44,65											
Temp	0											
Pulses	515											
ElapsedIn	270											
ElapsedOut	791											
LpH	44,02											
Temp	0											
Pulses	516											
ElapsedIn	264											
ElapsedOut	791											
LpH	43,73											
Temp	0											
Pulses	517											
ElapsedIn	271											
ElapsedOut	791											
LpH	43,26											
Temp	0											
Pulses	518											
ElapsedIn	268											
ElapsedOut	791											
LpH	42,9											
Temp	0											
Pulses	518											
ElapsedIn	268											
ElapsedOut	801											
LpH	42,66											
Temp	0											
Pulses	519											
ElapsedIn	271											
ElapsedOut	801											
LpH	42,37											
Temp	0											
Pulses	520											
ElapsedIn	268											
ElapsedOut	801											
LpH	42,18											
Temp	0											
Pulses	521											
ElapsedIn	283											
ElapsedOut	801											
LpH	41,88											
Temp	0											
Pulses	521											
ElapsedIn	283											
ElapsedOut	804											
LpH	41,52											
Temp	0											
Pulses	522											
ElapsedIn	287											
ElapsedOut	804											
LpH	41,17											
Temp	0											
Pulses	523											
ElapsedIn	307											
ElapsedOut	804											
LpH	40,37											
Temp	0											
Pulses	524											
ElapsedIn	295											
ElapsedOut	804											
LpH	39,66											
Temp	0											
Pulses	524											
ElapsedIn	295											
ElapsedOut	808											
LpH	39,15											
Temp	0											
Pulses	525											
ElapsedIn	310											
ElapsedOut	808											
LpH	38,25											
Temp	0											
Pulses	526											
ElapsedIn	298											
ElapsedOut	808											
LpH	37,57											
Temp	0											
Pulses	526											
ElapsedIn	298											
ElapsedOut	810											
LpH	36,96											
Temp	0											
Pulses	527											
ElapsedIn	289											
ElapsedOut	810											
LpH	36,48											
Temp	0											
Pulses	528											
ElapsedIn	302											
ElapsedOut	810											
LpH	36,09											
Temp	0											
Pulses	529											
ElapsedIn	323											
ElapsedOut	810											
LpH	35,28											
Temp	0											
Pulses	529											
ElapsedIn	323											
ElapsedOut	810											
LpH	34,57											
Temp	0											
Pulses	530											
ElapsedIn	306											
ElapsedOut	810											
LpH	34,61											
Temp	0											
Pulses	531											
ElapsedIn	295											
ElapsedOut	810											
LpH	34,63											
Temp	0											
Pulses	532											
ElapsedIn	280											
ElapsedOut	810											
LpH	34,98											
Temp	0											
Pulses	532											
ElapsedIn	280											
ElapsedOut	818											
LpH	35,67											
Temp	0											
Pulses	533											
ElapsedIn	284											
ElapsedOut	818											
LpH	36,02											
Temp	0											
Pulses	534											
ElapsedIn	279											
ElapsedOut	818											
LpH	36,48											
Temp	0											
Pulses	535											
ElapsedIn	271											
ElapsedOut	818											
LpH	36,94											
Temp	0											
Pulses	535											
ElapsedIn	271											
ElapsedOut	818											
LpH	37,68											
Temp	0											
Pulses	536											
ElapsedIn	279											
ElapsedOut	818											
LpH	38,64											
Temp	0											
Pulses	537											
ElapsedIn	273											
ElapsedOut	818											
LpH	39,74											
Temp	0											
Pulses	538											
ElapsedIn	267											
ElapsedOut	818											
LpH	40,67											
Temp	0											
Pulses	538											
ElapsedIn	267											
ElapsedOut	822											
LpH	41,38											
Temp	0											
Pulses	539											
ElapsedIn	273											
ElapsedOut	822											
LpH	41,6											
Temp	0											
Pulses	540											
ElapsedIn	282											
ElapsedOut	822											
LpH	41,56											
Temp	0											
Pulses	541											
ElapsedIn	332											
ElapsedOut	822											
LpH	40,61											
Temp	0											
Pulses	541											
ElapsedIn	332											
ElapsedOut	822											
LpH	39,54											
Temp	0											
Pulses	542											
ElapsedIn	315											
ElapsedOut	822											
LpH	38,58											
Temp	0											
Pulses	543											
ElapsedIn	329											
ElapsedOut	822											
LpH	37,36											
Temp	0											
Pulses	543											
ElapsedIn	329											
ElapsedOut	820											
LpH	36,33											
Temp	0											
Pulses	544											
ElapsedIn	322											
ElapsedOut	820											
LpH	35,28											
Temp	0											
Pulses	544											
ElapsedIn	322											
ElapsedOut	826											
LpH	34,1											
Temp	0											
Pulses	545											
ElapsedIn	1112											
ElapsedOut	826											
LpH	28,72											
Temp	0											
Pulses	546											
ElapsedIn	282											
ElapsedOut	826											
LpH	28,51											
Temp	0											
Pulses	546											
ElapsedIn	282											
ElapsedOut	845											
LpH	28,59											
Temp	0											
Pulses	547											
ElapsedIn	239											
ElapsedOut	845											
LpH	30,88											
Temp	0											
Pulses	548											
ElapsedIn	574											
ElapsedOut	845											
LpH	28,55											
Temp	0											
Pulses	548											
ElapsedIn	574											
ElapsedOut	852											
LpH	25,93											
Temp	0											
Pulses	549											
ElapsedIn	311											
ElapsedOut	852											
LpH	26,36											
Temp	0											
Pulses	550											
ElapsedIn	200											
ElapsedOut	852											
LpH	30,18											
Temp	0											
Pulses	551											
ElapsedIn	229											
ElapsedOut	852											
LpH	32,67											
Temp	0											
Pulses	552											
ElapsedIn	207											
ElapsedOut	852											
LpH	36,02											
Temp	0											
Pulses	552											
ElapsedIn	207											
ElapsedOut	836											
LpH	43,51											
Temp	0											
Pulses	553											
ElapsedIn	287											
ElapsedOut	836											
LpH	43,42											
Temp	0											
Pulses	554											
ElapsedIn	598											
ElapsedOut	836											
LpH	39,84											
Temp	0											
Pulses	554											
ElapsedIn	598											
ElapsedOut	836											
LpH	35,05											
Temp	0											
Pulses	555											
ElapsedIn	176											
ElapsedOut	836											
LpH	42,49											
Temp	0											
Pulses	556											
ElapsedIn	196											
ElapsedOut	836											
LpH	48,81											
Temp	0											
Pulses	557											
ElapsedIn	236											
ElapsedOut	836											
LpH	50,69											
Temp	0											
Pulses	558											
ElapsedIn	200											
ElapsedOut	836											
LpH	50,64											
Temp	0											
Pulses	558											
ElapsedIn	200											
ElapsedOut	850											
LpH	51,83											
Temp	0											
Pulses	559											
ElapsedIn	209											
ElapsedOut	850											
LpH	51,74											
Temp	0											
Pulses	560											
ElapsedIn	212											
ElapsedOut	850											
LpH	51,57											
Temp	0											
Pulses	561											
ElapsedIn	238											
ElapsedOut	850											
LpH	52,97											
Temp	0											
Pulses	562											
ElapsedIn	233											
ElapsedOut	850											
LpH	57,98											
Temp	0											
Pulses	562											
ElapsedIn	233											
ElapsedOut	850											
LpH	62,99											
Temp	0											
Pulses	563											
ElapsedIn	202											
ElapsedOut	850											
LpH	61,65											
Temp	0											
Pulses	564											
ElapsedIn	208											
ElapsedOut	850											
LpH	61,13											
Temp	0											
Pulses	565											
ElapsedIn	222											
ElapsedOut	850											
LpH	61,68											
Temp	0											
Pulses	566											
ElapsedIn	234											
ElapsedOut	850											
LpH	60,35											
Temp	0											
Pulses	566											
ElapsedIn	234											
ElapsedOut	854											
LpH	58,99											
Temp	0											
Pulses	567											
ElapsedIn	227											
ElapsedOut	854											
LpH	58,28											
Temp	0											
Pulses	568											
ElapsedIn	239											
ElapsedOut	854											
LpH	57,28											
Temp	0											
Pulses	569											
ElapsedIn	239											
ElapsedOut	854											
LpH	57,26											
Temp	0											
Pulses	569											
ElapsedIn	239											
ElapsedOut	852											
LpH	57,07											
Temp	0											
Pulses	570											
ElapsedIn	201											
ElapsedOut	852											
LpH	58,37											
Temp	0											
Pulses	571											
ElapsedIn	194											
ElapsedOut	852											
LpH	58,76											
Temp	0											
Pulses	572											
ElapsedIn	202											
ElapsedOut	852											
LpH	59,04											
Temp	0											
Pulses	573											
ElapsedIn	204											
ElapsedOut	852											
LpH	59,8											
Temp	0											
Pulses	574											
ElapsedIn	183											
ElapsedOut	852											
LpH	62,06											
Temp	0											
Pulses	574											
ElapsedIn	183											
ElapsedOut	848											
LpH	64,3											
Temp	0											
Pulses	575											
ElapsedIn	210											
ElapsedOut	848											
LpH	64,95											
Temp	0											
Pulses	576											
ElapsedIn	231											
ElapsedOut	848											
LpH	65,21											
Temp	0											
Pulses	577											
ElapsedIn	207											
ElapsedOut	848											
LpH	66,42											
Temp	0											
Pulses	577											
ElapsedIn	207											
ElapsedOut	841											
LpH	67,61											
Temp	0											
Pulses	578											
ElapsedIn	210											
ElapsedOut	841											
LpH	67,17											
Temp	0											
Pulses	579											
ElapsedIn	212											
ElapsedOut	841											
LpH	66,3											
Temp	0											
Pulses	580											
ElapsedIn	207											
ElapsedOut	841											
LpH	66,04											
Temp	0											
Pulses	581											
ElapsedIn	196											
ElapsedOut	841											
LpH	66,39											
Temp	0											
Pulses	582											
ElapsedIn	198											
ElapsedOut	841											
LpH	65,57											
Temp	0											
Pulses	582											
ElapsedIn	198											
ElapsedOut	837											
LpH	64,75											
Temp	0											
Pulses	583											
ElapsedIn	248											
ElapsedOut	837											
LpH	63,33											
Temp	0											
Pulses	584											
ElapsedIn	231											
ElapsedOut	837											
LpH	63,3											
Temp	0											
Pulses	585											
ElapsedIn	226											
ElapsedOut	837											
LpH	62,49											
Temp	0											
Pulses	585											
ElapsedIn	226											
ElapsedOut	838											
LpH	61,71											
Temp	0											
Pulses	586											
ElapsedIn	255											
ElapsedOut	838											
LpH	60,11											
Temp	0											
Pulses	587											
ElapsedIn	250											
ElapsedOut	838											
LpH	58,74											
Temp	0											
Pulses	588											
ElapsedIn	223											
ElapsedOut	838											
LpH	58,08											
Temp	0											
Pulses	589											
ElapsedIn	255											
ElapsedOut	838											
LpH	55,83											
Temp	0											
Pulses	589											
ElapsedIn	255											
ElapsedOut	840											
LpH	53,69											
Temp	0											
Pulses	590											
ElapsedIn	303											
ElapsedOut	840											
LpH	50,38											
Temp	0											
Pulses	591											
ElapsedIn	340											
ElapsedOut	840											
LpH	48,33											
Temp	0											
Pulses	591											
ElapsedIn	340											
ElapsedOut	832											
LpH	45,68											
Temp	0											
Pulses	592											
ElapsedIn	364											
ElapsedOut	832											
LpH	42,49											
Temp	0											
Pulses	593											
ElapsedIn	284											
ElapsedOut	832											
LpH	40,75											
Temp	0											
Pulses	594											
ElapsedIn	281											
ElapsedOut	832											
LpH	40,05											
Temp	0											
Pulses	594											
ElapsedIn	281											
ElapsedOut	839											
LpH	39,21											
Temp	0											
Pulses	595											
ElapsedIn	232											
ElapsedOut	839											
LpH	38,89											
Temp	0											
Pulses	596											
ElapsedIn	280											
ElapsedOut	839											
LpH	38,23											
Temp	0											
Pulses	597											
ElapsedIn	313											
ElapsedOut	839											
LpH	36,85											
Temp	0											
Pulses	597											
ElapsedIn	313											
ElapsedOut	845											
LpH	36,66											
Temp	0											
Pulses	598											
ElapsedIn	846											
ElapsedOut	845											
LpH	33,35											
Temp	0											
Pulses	598											
ElapsedIn	846											
ElapsedOut	846											
LpH	30,06											
Temp	0											
Pulses	599											
ElapsedIn	431											
ElapsedOut	846											
LpH	29,29											
Temp	0											
Pulses	600											
ElapsedIn	214											
ElapsedOut	846											
LpH	31,52											
Temp	0											
Pulses	601											
ElapsedIn	219											
ElapsedOut	846											
LpH	33,47											
Temp	0											
Pulses	601											
ElapsedIn	219											
ElapsedOut	847											
LpH	35,41											
Temp	0											
Pulses	602											
ElapsedIn	205											
ElapsedOut	847											
LpH	36,51											
Temp	0											
Pulses	603											
ElapsedIn	224											
ElapsedOut	847											
LpH	38,23											
Temp	0											
Pulses	604											
ElapsedIn	214											
ElapsedOut	847											
LpH	41,05											
Temp	0											
Pulses	605											
ElapsedIn	227											
ElapsedOut	847											
LpH	43,35											
Temp	0											
Pulses	605											
ElapsedIn	227											
ElapsedOut	851											
LpH	49,48											
Temp	0											
Pulses	606											
ElapsedIn	270											
ElapsedOut	851											
LpH	54,27											
Temp	0											
Pulses	607											
ElapsedIn	232											
ElapsedOut	851											
LpH	58,06											
Temp	0											
Pulses	608											
ElapsedIn	206											
ElapsedOut	851											
LpH	58,42											
Temp	0											
Pulses	609											
ElapsedIn	217											
ElapsedOut	851											
LpH	58,51											
Temp	0											
Pulses	609											
ElapsedIn	217											
ElapsedOut	853											
LpH	58,61											
Temp	0											
Pulses	610											
ElapsedIn	263											
ElapsedOut	853											
LpH	56,59											
Temp	0											
Pulses	611											
ElapsedIn	261											
ElapsedOut	853											
LpH	55,41											
Temp	0											
Pulses	612											
ElapsedIn	264											
ElapsedOut	853											
LpH	53,75											
Temp	0											
Pulses	612											
ElapsedIn	264											
ElapsedOut	863											
LpH	52,63											
Temp	0											
Pulses	613											
ElapsedIn	250											
ElapsedOut	863											
LpH	51,9											
Temp	0											
Pulses	614											
ElapsedIn	231											
ElapsedOut	863											
LpH	53,12											
Temp	0											
Pulses	615											
ElapsedIn	226											
ElapsedOut	863											
LpH	53,38											
Temp	0											
Pulses	616											
ElapsedIn	220											
ElapsedOut	863											
LpH	52,83											
Temp	0											
Pulses	616											
ElapsedIn	220											
ElapsedOut	869											
LpH	52,76											
Temp	0											
Pulses	617											
ElapsedIn	265											
ElapsedOut	869											
LpH	51,23											
Temp	0											
Pulses	618											
ElapsedIn	288											
ElapsedOut	869											
LpH	50,65											
Temp	0											
Pulses	619											
ElapsedIn	322											
ElapsedOut	869											
LpH	49,33											
Temp	0											
Pulses	619											
ElapsedIn	322											
ElapsedOut	871											
LpH	48,09											
Temp	0											
Pulses	620											
ElapsedIn	666											
ElapsedOut	871											
LpH	43,78											
Temp	0											
Pulses	621											
ElapsedIn	162											
ElapsedOut	871											
LpH	47,92											
Temp	0											
Pulses	621											
ElapsedIn	162											
ElapsedOut	879											
LpH	51,46											
Temp	0											
Pulses	622											
ElapsedIn	213											
ElapsedOut	879											
LpH	52,02											
Temp	0											
Pulses	623											
ElapsedIn	209											
ElapsedOut	879											
LpH	52,52											
Temp	0											
Pulses	624											
ElapsedIn	202											
ElapsedOut	879											
LpH	53,32											
Temp	0											
Pulses	625											
ElapsedIn	187											
ElapsedOut	879											
LpH	56,33											
Temp	0											
Pulses	625											
ElapsedIn	187											
ElapsedOut	893											
LpH	59,95											
Temp	0											
Pulses	626											
ElapsedIn	202											
ElapsedOut	893											
LpH	63,52											
Temp	0											
Pulses	627											
ElapsedIn	207											
ElapsedOut	893											
LpH	66,85											
Temp	0											
Pulses	628											
ElapsedIn	221											
ElapsedOut	893											
LpH	72,64											
Temp	0											
Pulses	629											
ElapsedIn	190											
ElapsedOut	893											
LpH	70,98											
Temp	0											
Pulses	630											
ElapsedIn	181											
ElapsedOut	893											
LpH	69,8											
Temp	0											
Pulses	630											
ElapsedIn	181											
ElapsedOut	983											
LpH	71,64											
Temp	0											
Pulses	631											
ElapsedIn	192											
ElapsedOut	983											
LpH	72,71											
Temp	0											
Pulses	632											
ElapsedIn	181											
ElapsedOut	983											
LpH	74,07											
Temp	0											
Pulses	633											
ElapsedIn	174											
ElapsedOut	983											
LpH	75,1											
Temp	0											
Pulses	634											
ElapsedIn	179											
ElapsedOut	983											
LpH	75,78											
Temp	0											
Pulses	635											
ElapsedIn	172											
ElapsedOut	983											
LpH	77,65											
Temp	0											
Pulses	636											
ElapsedIn	172											
ElapsedOut	983											
LpH	79,74											
Temp	0											
Pulses	636											
ElapsedIn	172											
ElapsedOut	934											
LpH	82,3											
Temp	0											
Pulses	637											
ElapsedIn	213											
ElapsedOut	934											
LpH	81,33											
Temp	0											
Pulses	638											
ElapsedIn	220											
ElapsedOut	934											
LpH	79,59											
Temp	0											
Pulses	639											
ElapsedIn	203											
ElapsedOut	934											
LpH	78,33											
Temp	0											
Pulses	640											
ElapsedIn	199											
ElapsedOut	934											
LpH	77,86											
Temp	0											
Pulses	640											
ElapsedIn	199											
ElapsedOut	885											
LpH	76,66											
Temp	0											
Pulses	641											
ElapsedIn	211											
ElapsedOut	885											
LpH	74,5											
Temp	0											
Pulses	642											
ElapsedIn	200											
ElapsedOut	885											
LpH	73,14											
Temp	0											
Pulses	643											
ElapsedIn	190											
ElapsedOut	885											
LpH	71,84											
Temp	0											
Pulses	644											
ElapsedIn	210											
ElapsedOut	885											
LpH	69,59											
Temp	0											
Pulses	644											
ElapsedIn	210											
ElapsedOut	861											
LpH	67,39											
Temp	0											
Pulses	645											
ElapsedIn	209											
ElapsedOut	861											
LpH	67,36											
Temp	0											
Pulses	646											
ElapsedIn	203											
ElapsedOut	861											
LpH	67,88											
Temp	0											
Pulses	647											
ElapsedIn	210											
ElapsedOut	861											
LpH	67,36											
Temp	0											
Pulses	648											
ElapsedIn	208											
ElapsedOut	861											
LpH	66,75											
Temp	0											
Pulses	648											
ElapsedIn	208											
ElapsedOut	857											
LpH	66,25											
Temp	0											
Pulses	649											
ElapsedIn	222											
ElapsedOut	857											
LpH	65,72											
Temp	0											
Pulses	650											
ElapsedIn	237											
ElapsedOut	857											
LpH	64,16											
Temp	0											
Pulses	651											
ElapsedIn	254											
ElapsedOut	857											
LpH	61,56											
Temp	0											
Pulses	652											
ElapsedIn	222											
ElapsedOut	857											
LpH	60,99											
Temp	0											
Pulses	652											
